You are now connected to database "meteo_data" as user "nata".
   time   | temperature | power 
----------+-------------+-------
 00:00:00 |        19.1 | 54961
 00:00:05 |        19.1 | 54960
 00:00:10 |        19.1 | 54958
 00:00:15 |        19.1 | 54957
 00:00:20 |        19.1 | 55015
 00:00:25 |        19.1 | 54940
 00:00:30 |       19.09 | 54961
 00:00:35 |       19.09 | 55011
 00:00:40 |       19.09 | 54949
 00:00:45 |       19.09 | 55213
 00:00:50 |       19.09 | 54946
 00:00:55 |       19.09 | 54948
 00:01:00 |       19.09 | 54943
 00:01:05 |       19.09 | 54941
 00:01:10 |       19.09 | 54940
 00:01:15 |       19.09 | 54938
 00:01:20 |       19.08 | 54937
 00:01:25 |       19.08 | 54935
 00:01:30 |       19.08 | 54934
 00:01:35 |       19.08 | 55038
 00:01:40 |       19.08 | 54930
 00:01:45 |       19.08 | 54929
 00:01:50 |       19.08 | 54826
 00:01:55 |       19.08 | 54926
 00:02:00 |       19.08 | 55359
 00:02:05 |       19.08 | 54923
 00:02:10 |       19.07 | 54921
 00:02:15 |       19.07 | 54920
 00:02:20 |       19.07 | 54918
 00:02:25 |       19.07 | 54917
 00:02:30 |       19.07 | 54915
 00:02:35 |       19.07 | 54913
 00:02:40 |       19.07 | 54912
 00:02:45 |       19.07 | 54910
 00:02:50 |       19.07 | 54909
 00:02:55 |       19.07 | 54907
 00:03:00 |       19.07 | 54906
 00:03:05 |       19.06 | 54904
 00:03:10 |       19.06 | 54903
 00:03:15 |       19.06 | 54795
 00:03:20 |       19.06 | 54900
 00:03:25 |       19.06 | 54898
 00:03:30 |       19.06 | 54897
 00:03:35 |       19.06 | 54895
 00:03:40 |       19.06 | 55137
 00:03:45 |       19.06 | 55334
 00:03:50 |       19.06 | 54890
 00:03:55 |       19.05 | 54889
 00:04:00 |       19.05 | 54887
 00:04:05 |       19.05 | 54886
(50 rows)

